                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89682,                0.69699,                   1.29,                0.93787,                0.83315,                0.90483,                0.65084,                 1.0792,                0.70428,                 1.5448,              0.0011098,              0.0011098,              0.0011098
                     36,                0.89688,                0.70676,                 1.3028,                0.91635,                 0.8363,                0.89668,                0.62422,                 1.0707,                0.70346,                 1.5354,              0.0011056,              0.0011056,              0.0011056
                     37,                0.90907,                0.67626,                 1.2918,                0.89468,                0.87819,                0.91939,                 0.6406,                 1.0982,                0.67931,                 1.5841,              0.0011015,              0.0011015,              0.0011015
                     38,                0.89269,                0.68324,                 1.2877,                 0.8854,                0.86545,                 0.9191,                0.64299,                 1.0794,                0.70474,                 1.5345,              0.0010974,              0.0010974,              0.0010974
                     39,                0.86653,                 0.6634,                 1.2834,                0.93245,                0.82628,                0.91931,                0.64674,                 1.0716,                0.69105,                 1.5389,              0.0010933,              0.0010933,              0.0010933
                     40,                0.89523,                0.67766,                 1.2862,                0.90483,                0.86946,                0.92681,                0.65896,                 1.0728,                 0.6393,                 1.5548,              0.0010891,              0.0010891,              0.0010891
                     41,                0.88296,                0.67636,                 1.2791,                0.93181,                0.85854,                0.93348,                0.66769,                 1.0197,                0.61549,                 1.4948,               0.001085,               0.001085,               0.001085
                     42,                 0.8764,                 0.6538,                 1.2759,                0.91808,                0.86558,                0.92084,                0.66111,                 1.0284,                0.64191,                 1.5232,              0.0010809,              0.0010809,              0.0010809
                     43,                0.86408,                0.65341,                  1.278,                0.90513,                0.84219,                0.90127,                0.63583,                 1.1164,                0.68661,                 1.6147,              0.0010768,              0.0010768,              0.0010768
                     44,                0.87175,                0.66043,                 1.2727,                0.93629,                0.87775,                0.93072,                0.65909,                 1.0228,                0.60557,                  1.506,              0.0010726,              0.0010726,              0.0010726
                     45,                0.84776,                0.63212,                  1.265,                0.94452,                0.86475,                0.91898,                0.66138,                 1.0375,                 0.6217,                 1.5008,              0.0010685,              0.0010685,              0.0010685
                     46,                 0.8579,                0.61629,                 1.2585,                0.90657,                 0.8912,                0.92489,                0.67493,                 1.0343,                0.64662,                 1.5111,              0.0010644,              0.0010644,              0.0010644
                     47,                 0.8493,                0.62997,                  1.251,                0.94852,                0.87161,                0.92804,                0.69019,                0.99545,                0.60789,                 1.4635,              0.0010603,              0.0010603,              0.0010603
                     48,                 0.8629,                0.63996,                 1.2602,                0.91546,                0.87106,                0.92223,                0.66228,                 1.0499,                0.66354,                 1.5316,              0.0010561,              0.0010561,              0.0010561
                     49,                0.83486,                0.60652,                 1.2437,                0.92757,                0.88776,                0.92489,                0.65613,                 1.0276,                0.61043,                 1.5125,               0.001052,               0.001052,               0.001052
                     50,                0.85116,                0.62388,                 1.2478,                0.93604,                0.88288,                0.92825,                0.66224,                 1.0112,                0.60442,                  1.502,              0.0010479,              0.0010479,              0.0010479
                     51,                0.84749,                0.62573,                 1.2707,                0.95767,                0.84937,                0.91928,                0.65763,                 1.0128,                0.61226,                 1.4955,              0.0010438,              0.0010438,              0.0010438
                     52,                 0.8406,                0.61614,                 1.2557,                0.93168,                0.89259,                0.92889,                0.67885,                 1.0001,                0.59428,                 1.4838,              0.0010396,              0.0010396,              0.0010396
                     53,                0.85426,                0.61389,                 1.2556,                0.93957,                0.86456,                0.91947,                0.66154,                 1.0548,                0.62783,                 1.5131,              0.0010355,              0.0010355,              0.0010355
                     54,                0.84403,                0.63291,                 1.2652,                0.93835,                 0.8628,                0.92014,                0.64317,                 1.0875,                0.67652,                 1.5614,              0.0010314,              0.0010314,              0.0010314
                     55,                0.82317,                0.58281,                 1.2402,                0.93467,                0.86664,                0.92963,                0.65735,                 1.0537,                0.62933,                 1.5018,              0.0010273,              0.0010273,              0.0010273
                     56,                 0.8105,                0.57949,                 1.2234,                0.93442,                0.87888,                 0.9326,                0.66925,                 1.0391,                0.58822,                 1.5096,              0.0010231,              0.0010231,              0.0010231
                     57,                0.83555,                0.59027,                 1.2373,                0.96292,                0.85157,                0.92337,                0.66573,                 1.0083,                 0.6292,                 1.5055,               0.001019,               0.001019,               0.001019
                     58,                0.82317,                0.58924,                  1.235,                0.92159,                0.83828,                0.91186,                0.67469,                0.97938,                0.63759,                 1.4561,              0.0010149,              0.0010149,              0.0010149
                     59,                0.82116,                0.56874,                 1.2365,                0.93132,                0.85743,                 0.9233,                0.64823,                 1.0743,                0.62766,                 1.5592,              0.0010107,              0.0010107,              0.0010107
                     60,                0.84817,                0.60957,                 1.2483,                0.92901,                0.86654,                0.91439,                0.64939,                 1.0412,                0.62015,                 1.5342,              0.0010066,              0.0010066,              0.0010066
                     61,                 0.8439,                0.61317,                  1.261,                0.88443,                0.86052,                0.90545,                0.64471,                  1.059,                0.64993,                 1.4963,              0.0010025,              0.0010025,              0.0010025
                     62,                0.81947,                0.58915,                 1.2432,                0.94956,                0.87326,                0.92949,                0.66935,                 1.0119,                0.56412,                 1.5042,             0.00099837,             0.00099837,             0.00099837
                     63,                0.83267,                0.57685,                  1.241,                0.93889,                0.87328,                0.92157,                0.65649,                 1.0495,                0.64032,                  1.518,             0.00099425,             0.00099425,             0.00099425
                     64,                0.80769,                0.57724,                 1.2386,                0.93639,                0.88667,                0.92675,                0.67265,                 1.0128,                0.59251,                 1.4893,             0.00099013,             0.00099013,             0.00099013
                     65,                0.80767,                 0.5762,                 1.2288,                0.94214,                0.86026,                0.92297,                 0.6801,                 1.0145,                0.60016,                 1.5252,               0.000986,               0.000986,               0.000986
